node_id,x_coord,y_coord,zone_id,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1,wkt_geom
450,428702.16391,4617455.27955,437,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428702.2 4617455)
451,428738.27362,4617109.58065,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428738.3 4617110)
452,427045.80201,4616441.43811,439,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427045.8 4616441)
453,427931.74895,4616498.63507,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427931.7 4616499)
454,427168.66897,4615429.36734,441,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427168.7 4615429)
455,427619.12459,4615810.39584,442,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427619.1 4615810)
456,430364.88926,4618188.43735,443,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430364.9 4618188)
457,430012.75126,4617485.06198,444,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430012.8 4617485)
458,429727.12324,4616972.38997,445,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429727.1 4616972)
459,428161.29277,4616142.5129,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428161.3 4616143)
460,428714.5573,4616377.72607,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428714.6 4616378)
461,430680.32919,4619072.50506,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430680.3 4619073)
462,431043.35369,4619289.86836,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431043.4 4619290)
463,431584.82137,4619424.18093,448,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431584.8 4619424)
464,432242.59198,4619757.15271,449,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432242.6 4619757)
465,432206.81431,4619352.15944,450,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432206.8 4619352)
466,432851.59206,4619585.9339,451,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432851.6 4619586)
467,431444.72563,4619065.39273,452,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431444.7 4619065)
468,431336.2892,4618853.4457,453,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431336.3 4618853)
469,431977.33143,4618915.68825,454,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431977.3 4618916)
470,432411.69831,4618940.22698,455,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432411.7 4618940)
